start,end,strand,gene_id,description
55669,56511,-1,BAA16623,dTDP-6-deoxy-L-mannose-dehydrogenase
56556,57224,-1,BAA16624,peptide methionine sulfoxide reductase
57340,58815,-1,BAA16625,glycogen (starch) synthase
59039,59650,-1,BAA16626,
59746,60423,1,BAA16627,
60524,61522,1,BAA16628,ABC transporter
61834,63591,1,BAA16629,
63588,64361,1,BAA16630,
64393,64914,1,BAA16631,
64987,65748,1,BAA16632,
65827,67533,-1,BAA16633,
67606,68361,1,BAA16634,UDP-N-acetyl-D-mannosaminuronic acid transferase
68400,69059,-1,BAA16635,
69284,69985,1,BAA16636,
70016,70393,-1,BAA16637,
70420,70935,-1,BAA16638,
70944,74042,-1,BAA16639,
73978,74229,-1,BAA16640,
74498,74785,1,BAA16641,
74995,75804,1,BAA16642,type 4 prepilin peptidase
75955,76500,-1,BAA16643,adenylate kinase
76580,77407,-1,BAA16644,dihydrodipicolinate reductase
77494,77874,-1,BAA16645,thioredoxin M
78467,80800,-1,BAA16646,phosphoribosylformyl glycinamidine synthetase II
80938,81690,1,BAA16647,
81696,82259,-1,BAA16648,
82291,83853,-1,BAA16649,
84122,84697,1,BAA16650,guanylate kinase
85058,86107,1,BAA16651,phosphoglycerate mutase
86159,87418,1,BAA16652,zeaxanthin glucosyl transferase
87536,87910,-1,BAA16653,
88017,88661,-1,BAA16654,phycocyanin alpha phycocyanobilin lyase; CpcF
88818,90512,-1,BAA16655,
90620,91411,1,BAA16656,
91517,92482,1,BAA16657,"erthyrocyte band 7 integral membrane protein, protein 7.2B, stomatin"
93128,95152,1,BAA16658,ribonuclease E
95236,95808,1,BAA16659,ribonuclease HII
95818,96228,-1,BAA16660,mutator MutT protein
96325,98481,-1,BAA16661,polyribonucleotide nucleotidyltransferase
98609,99199,-1,BAA16662,leader peptidase I
99402,100793,1,BAA16663,malic enzyme
100794,101771,-1,BAA16664,cysteine synthase
101884,102831,-1,BAA16665,
102930,105110,-1,BAA16666,
105151,106539,-1,BAA16667,
107471,108325,-1,BAA16668,dimethyladenosine transferase
108290,109201,1,BAA16669,
109222,110313,1,BAA16670,
110392,110724,1,BAA16671,HtaR suppressor protein
110808,111224,1,BAA16672,
111585,112559,1,BAA16673,
113025,114188,1,BAA16674,
114319,114624,1,BAA16675,
114874,115272,1,BAA16676,
115269,116477,1,BAA16677,
116518,117693,-1,BAA16678,NifS protein
117869,118336,1,BAA16679,
118333,119532,-1,BAA16680,
119570,119962,-1,BAA16681,
120719,121660,1,BAA16682,integrase-recombinase protein
121706,121990,-1,BAA16683,
122287,123405,1,BAA16684,
123501,123995,-1,BAA16685,transposase
123989,124348,-1,BAA16686,transposase
124452,126443,-1,BAA16687,drug sensory protein A
126639,127064,1,BAA16688,photosystem I subunit II
127186,128712,1,BAA16689,anthranilate synthetase alpha-subunit
128802,129710,1,BAA16690,geranylgeranyl pyrophosphate synthase
129791,130186,1,BAA16691,
130167,131039,-1,BAA16692,
131116,131790,1,BAA16693,a negative regulator of pho regulon
131877,132407,1,BAA16694,
132483,133859,1,BAA16695,N utilization substance protein
134437,137442,1,BAA16696,initiation factor IF-2
137444,138112,1,BAA16697,
138295,140535,1,BAA16698,glycogen operon protein; GlgX
140585,141007,1,BAA16699,
141123,141416,-1,BAA16700,transposase
141648,142442,1,BAA16701,precorrin methylase
142559,142981,1,BAA16702,
142981,143826,1,BAA16703,
144061,144543,1,BAA16704,bacterioferritin comigratory protein
144554,145081,1,BAA16705,
145164,145529,-1,BAA16706,
145761,146615,1,BAA16707,
146724,146831,-1,BAA16708,photosystem II PsbM protein
146980,147894,1,BAA16709,acetylpolyamine aminohydolase
148022,148942,-1,BAA16710,arginase
148943,149683,-1,BAA16711,peptidyl-prolyl cis-trans isomerase B
149889,150455,-1,BAA16712,
150594,152132,-1,BAA16713,
152154,153050,-1,BAA16714,
153622,153996,1,BAA16715,
154143,154679,1,BAA16716,
154703,155461,1,BAA16717,ABC transporter
155473,156258,1,BAA16718,
156391,156651,1,BAA16719,photosystem I subunit X
156741,157013,-1,BAA16720,
157050,158615,-1,BAA16721,NADH dehydrogenase subunit 2
158757,159737,-1,BAA16722,alkaline phosphatase
159812,159961,-1,BAA16723,
160004,160093,-1,BAA16724,
160258,161058,1,BAA16725,
161088,161642,-1,BAA16726,bacterioferritin comigratory protein
161768,163663,-1,BAA16727,L-glutamine:D-fructose-6-P amidotransferase
164037,165821,-1,BAA16728,potential FMN-protein
165871,166389,-1,BAA16729,
166416,168152,-1,BAA16730,potential FMN-protein
168533,169921,1,BAA16731,carboxyl-terminal protease
169934,170566,-1,BAA16732,
170572,171840,1,BAA16733,
171939,172883,-1,BAA16734,ATP synthase g subunit
173014,174525,-1,BAA16735,ATP synthase a subunit
174586,175143,-1,BAA16736,ATP synthase d subunit
175143,175682,-1,BAA16737,ATP synthase subunit b
175708,176139,-1,BAA16738,ATP synthase subunit b'
176256,176501,-1,BAA16739,ATP synthase subunit c
176693,177523,-1,BAA16740,ATP synthase subunit a
177592,178038,-1,BAA16741,
178237,179682,1,BAA16742,
179734,181047,1,BAA16743,sensory transduction histidine kinase
181073,182221,1,BAA16744,
182354,183298,1,BAA16745,MorR protein
183493,183849,1,BAA16746,
183935,184924,-1,BAA16747,
184968,185636,-1,BAA16748,
185772,186554,-1,BAA16749,ABC transporter
186601,188898,-1,BAA16750,
189128,189715,1,BAA16751,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase"
190033,190818,1,BAA16752,
190815,191954,-1,BAA16753,
192136,192783,1,BAA16754,
192870,194306,1,BAA16755,dihydrolipoamide dehydrogenase
194310,194801,1,BAA16756,
194859,195617,1,BAA16757,
195685,196305,1,BAA16758,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
196611,196991,1,BAA16759,
197231,197557,1,BAA16760,
197624,200185,1,BAA16761,
200405,202525,1,BAA16762,
202554,204395,1,BAA16763,
204604,206397,1,BAA16764,elongation factor EF-G
206863,208338,-1,BAA16765,
208549,209427,-1,BAA16766,
209527,209826,-1,BAA16767,
209896,210546,-1,BAA16768,uracil phosphoribosyltransferase
210781,211629,1,BAA16769,prohibitin
211734,213068,1,BAA16770,
213031,215037,-1,BAA16771,
215504,216229,-1,BAA16772,
216264,218327,-1,BAA16773,carbon dioxide concentrating mechanism protein; CcmM
218407,218709,-1,BAA16774,carbon dioxide concentrating mechanism protein; CcmL
218742,219077,-1,BAA16775,carbon dioxide concentrating mechanism protein; CcmK
219206,219517,-1,BAA16776,carbon dioxide concentrating mechanism protein; CcmK
219979,221463,-1,BAA16777,NADH-glutamate synthase small subunit
221742,223067,1,BAA16778,erythroid ankyrin
223018,223596,1,BAA16779,
223673,224806,1,BAA16780,
224897,226363,-1,BAA16781,
226928,227098,1,BAA16782,
227123,227899,1,BAA16783,
227943,228812,1,BAA16784,
228866,230566,1,BAA16785,high affinity sulfate transporter
230658,231839,-1,BAA16786,heme binding protein precursor
232008,234038,1,BAA16787,Mg chelatase subunit; ChlD
234305,234838,1,BAA16788,
234905,236356,-1,BAA16789,lysine decarboxylase
236356,237438,-1,BAA16790,alanine dehydrogenase
237660,238325,1,BAA16791,pyridoxal phosphate biosynthetic protein; PdxJ
238344,238745,1,BAA16792,
238804,240327,-1,BAA16793,
240299,240829,-1,BAA16794,
240863,242047,-1,BAA16795,protease; HhoA
242246,243094,1,BAA16796,NarL subfamily
243158,244144,1,BAA16797,biliverdin reductase
244160,244708,-1,BAA16798,spore maturation protein A
244783,245436,-1,BAA16799,spore maturation protein B
245502,247019,-1,BAA16800,4-alpha-glucanotransferase
247117,247569,-1,BAA16801,
247619,248713,1,BAA16802,
249062,250117,1,BAA16803,
250160,251641,1,BAA16804,
251758,253116,-1,BAA16805,regulatory components of sensory transduction system
253125,255629,-1,BAA16806,hybrid sensory kinase
255823,256305,-1,BAA16807,
256647,257279,1,BAA16808,
257426,258175,1,BAA16809,3'-phosphoadenosine-5'-phosphosulfate sulfotransferase
258227,259363,-1,BAA16810,CIRCE binding repressor
259702,260271,-1,BAA16811,shikimate kinase
260463,261638,1,BAA16812,transaldolase
261863,262060,1,BAA16813,
262177,263265,1,BAA16814,
263321,263965,1,BAA16815,peptide methionine sulfoxide reductase
264190,264477,1,BAA16816,
264516,265316,-1,BAA16817,mitochondrial outer membrane 72K protein
265414,265938,-1,BAA16818,DnaJ protein
265995,266600,1,BAA16819,
266702,268471,-1,BAA16820,
268789,269727,-1,BAA16821,
269773,270435,-1,BAA16822,
270476,271369,-1,BAA16823,chorismate mutase /prephenate dehydratase
271600,273357,1,BAA16824,PleD gene product
273802,274386,-1,BAA16825,
274502,275680,-1,BAA16826,
275807,276283,-1,BAA16827,
276429,278342,1,BAA16828,
278494,279561,1,BAA16829,
279512,280087,-1,BAA16830,
280127,280951,-1,BAA16831,biotin [acetyl-CoA-carboxylase] ligase
280970,281443,-1,BAA16832,
281507,282223,-1,BAA16833,spore germination protein c2
282290,282700,-1,BAA16834,
283060,284487,1,BAA16835,isocitrate dehydrogenase (NADP+)
284508,285080,1,BAA16836,
285144,285938,-1,BAA16837,
286164,287843,1,BAA16838,NADH dehydrogenase subunit 4
287929,289104,-1,BAA16839,
289322,290845,1,BAA16840,
290902,291174,1,BAA16841,
291626,292708,1,BAA16842,iron transport protein
292790,293485,-1,BAA16843,tRNA (m1G37) methyltransferase
293496,293669,-1,BAA16844,
293878,294963,-1,BAA16845,phosphofructokinase
295076,297343,1,BAA16846,
297493,297888,-1,BAA16847,photosystem II 12 kD extrinsic protein
298083,298580,-1,BAA16848,
299522,300883,1,BAA16849,UDP-glucose dehydrogenase
301110,302354,1,BAA16850,UbiH protein
302367,302789,-1,BAA16851,
302786,303190,-1,BAA16852,
303424,303621,1,BAA16853,
303939,305546,1,BAA16854,
305595,306824,1,BAA16855,
306844,308076,1,BAA16856,
308114,309418,-1,BAA16857,glycolate oxidase subunit; GlcE
309649,312171,1,BAA16858,regulatory components of sensory transduction system
312258,313715,1,BAA16859,
313705,314199,-1,BAA16860,
314255,315106,-1,BAA16861,prolipoprotein diacylglyceryl transferase
315134,315784,-1,BAA16862,
315882,316904,-1,BAA16863,coproporphyrinogen III oxidase
317127,317849,-1,BAA16864,heme oxygenase
317984,318571,1,BAA16865,
318661,318897,1,BAA16866,50S ribosomal protein L28
319096,320529,1,BAA16867,
320785,321447,-1,BAA16868,
321699,323606,1,BAA16869,ferredoxin-sulfite reductase
323805,324731,1,BAA16870,
324831,326006,1,BAA16871,DNA polymerase III beta subunit
326150,326944,1,BAA16872,tryptophan synthase alpha chain
327100,327552,1,BAA16873,
327604,327981,-1,BAA16874,
328006,329181,-1,BAA16875,aspartate transaminase
329222,329521,-1,BAA16876,
329555,331060,-1,BAA16877,
331144,333027,1,BAA16878,precorrin methylase
333130,334485,1,BAA16879,
334568,335623,-1,BAA16880,carboxysome formation protein
335819,336295,-1,BAA16881,
336313,336582,-1,BAA16882,30S ribosomal protein S15
336747,337760,-1,BAA16883,
337861,338331,-1,BAA16884,
338503,339096,-1,BAA16885,
339140,339625,-1,BAA16886,allophycocyanin-B
339737,340966,-1,BAA16887,S-adenosylmethionine synthetase
341135,342139,-1,BAA16888,
342151,342759,-1,BAA16889,
343026,343559,1,BAA16890,initiation factor IF-3
343863,344720,1,BAA16891,
344744,345298,-1,BAA16892,
345536,347806,-1,BAA16893,exopolysaccharide export protein
348384,348734,-1,BAA16894,
348701,349429,1,BAA16895,
349468,350298,1,BAA16896,ABC transporter
350509,350916,1,BAA16897,
351036,351467,1,BAA16898,
351538,352101,1,BAA16899,
352263,353555,1,BAA16900,ABC transporter
353552,354322,1,BAA16901,alpha-D-glucose-1-phosphate cytidylyltransferase
354323,355405,1,BAA16902,"CDP-glucose-4,6-dehydratase"
355424,355993,1,BAA16903,dTDP-6-deoxy-L-mannose-dehydrogenase
355909,357210,1,BAA16904,
357245,357697,1,BAA16905,
357748,358608,1,BAA16906,
358760,359350,1,BAA16907,
359668,359973,1,BAA16908,
360030,361166,1,BAA16909,perosamine synthetase
361163,362188,1,BAA16910,
362185,363420,1,BAA16911,
363433,364218,1,BAA16912,
364247,364996,1,BAA16913,
365274,365621,1,BAA16914,
365716,367785,1,BAA16915,
367807,368910,1,BAA16916,mannosyltransferase B
369149,370219,1,BAA16917,
370285,371490,1,BAA16918,
371487,372509,1,BAA16919,UDP-glucose-4-epimerase
372811,373167,1,BAA16920,
373231,373644,1,BAA16921,
373654,374511,1,BAA16922,
374646,375452,1,BAA16923,
375470,376432,1,BAA16924,GDP-D-mannose dehydratase
376485,377639,1,BAA16925,
377620,378951,1,BAA16926,
379065,379913,1,BAA16927,transposase
380030,381175,1,BAA16928,
381177,382337,1,BAA16929,
382392,382646,1,BAA16930,
382643,382873,1,BAA16931,
382949,383266,1,BAA16932,UDP-glucose-4-epimerase
383300,383794,1,BAA16933,
384050,384247,1,BAA16934,
384343,384975,1,BAA16935,
384980,385390,1,BAA16936,
385467,386012,1,BAA16937,
386177,386617,1,BAA16938,
386681,387955,1,BAA16939,
388116,389201,1,BAA16940,
389175,390353,-1,BAA16941,
390353,390634,-1,BAA16942,
390905,391729,-1,BAA16943,
391899,393104,-1,BAA16944,succinate--CoA ligase
393121,393849,-1,BAA16945,
393996,396017,-1,BAA16946,
396057,396941,-1,BAA16947,
397037,398143,1,BAA16948,GTP-binding protein
398188,398361,1,BAA16949,high light inducible protein
398441,399214,-1,BAA16950,glyoxalase II
399275,400600,-1,BAA16951,dihydroorotase
400720,402048,-1,BAA16952,ammonium/methylammonium permease
402290,403432,1,BAA16953,hybrid sensory kinase
403552,404427,1,BAA16954,
404545,410184,-1,BAA16955,extracellular nuclease
410315,414544,-1,BAA16956,alkaline phosphatase
414871,415404,1,BAA16957,adenylylsulfate 3'-phosphotransferase
415562,416245,1,BAA16958,biopolymer transport ExbB protein
416356,417165,1,BAA16959,
417201,418541,1,BAA16960,Fmu and Fmv protein
418704,419126,1,BAA16961,
418963,420264,1,BAA16962,
420502,421731,1,BAA16963,histidinol dehydrogenase
421765,422259,-1,BAA16964,transposase
422253,422612,-1,BAA16965,transposase
422772,423509,-1,BAA16966,OmpR subfamily
423490,424566,-1,BAA16967,lipophilic protein
424694,425464,-1,BAA16968,
425468,427738,-1,BAA16969,adenylate cyclase
427777,428544,-1,BAA16970,
428619,429614,-1,BAA16971,esterase
429810,430169,1,BAA16972,
430424,431044,-1,BAA16973,urease accessory protein G
431350,432795,1,BAA16974,PleD gene product
432779,434308,-1,BAA16975,
434320,436158,-1,BAA16976,sulfur deprivation response regulator
436234,437265,1,BAA16977,
437705,437908,1,BAA16978,
437922,439118,1,BAA16979,
439184,440437,-1,BAA16980,
440610,441986,-1,BAA16981,
442164,443933,1,BAA16982,
443913,444944,-1,BAA16983,thiamin biosynthetic bifunctional enzyme
445061,445924,-1,BAA16984,BtpA
446230,446751,1,BAA16985,
446807,447694,1,BAA16986,
447831,448979,1,BAA16987,
449166,450041,1,BAA16988,
450740,451651,1,BAA16989,
451735,452922,1,BAA16990,PatA subfamily
453214,454446,1,BAA16991,Na/H antiporter
454712,456586,-1,BAA16992,
456975,458297,1,BAA16993,PxcA
458408,458857,-1,BAA16994,
459200,460096,1,BAA16995,
460250,460690,-1,BAA16996,"16.6 kDa small heat shock protein, molecular chaperon"
460956,461960,-1,BAA16997,c-type cytochrome synthesis protein
462147,462554,-1,BAA16998,
462809,463678,1,BAA16999,lipoic acid synthetase
463690,464307,-1,BAA17000,
464437,465177,-1,BAA17001,
465232,465561,-1,BAA17002,
465927,466493,1,BAA17003,
466588,467037,1,BAA17004,
467201,467296,1,BAA17005,photosystem I PsaM subunit
467436,467813,1,BAA17006,
467836,468666,-1,BAA17007,UDP-3-o-acyl N-acetylglcosamine deacetylase
469001,469546,-1,BAA17008,
469592,470914,1,BAA17009,
471080,472930,1,BAA17010,cell division protein; FtsH
473414,473662,1,BAA17011,transposase
473953,474204,-1,BAA17012,virulence associated protein C
474205,474432,-1,BAA17013,virulence associated protein B
474789,475007,-1,BAA17014,
475110,475445,-1,BAA17015,
475435,475743,-1,BAA17016,
475873,477399,-1,BAA17017,
477668,482320,-1,BAA17018,glutamate synthase (ferredoxin)
482542,482703,1,BAA17019,
482945,483199,1,BAA17020,
483326,484564,1,BAA17021,glucose dehydrogenase-B
484799,486247,-1,BAA17022,"cobyrinic acid a,c-diamide synthase"
486244,487353,-1,BAA17023,
487287,489377,1,BAA17024,long-chain-fatty-acid CoA ligase
489722,490888,1,BAA17025,PatA subfamily
491006,491449,1,BAA17026,CheY subfamily
491496,492059,1,BAA17027,
492130,494739,1,BAA17028,methyl-accepting chemotaxis protein
494828,495619,1,BAA17029,
495626,496006,1,BAA17030,
496450,497844,1,BAA17031,PleD
498076,501096,1,BAA17032,
501178,501990,-1,BAA17033,
502042,502215,1,BAA17034,50S ribosomal protein L32
502314,503747,1,BAA17035,
503883,504719,1,BAA17036,enoyl-[acyl-carrier-protein] reductase
504755,505267,1,BAA17037,
505356,506159,1,BAA17038,
506252,508027,-1,BAA17039,iron-regulated protein
508515,512510,1,BAA17040,Mg-chelatase subunit; ChlH
512615,514633,1,BAA17041,
514847,515944,-1,BAA17042,
516088,516897,-1,BAA17043,regulatory protein for beta-lactamase
517027,518211,-1,BAA17044,
518287,520272,-1,BAA17045,sensory transduction histidine kinase
520682,520840,-1,BAA17046,
520918,521169,-1,BAA17047,transposase
521076,521357,-1,BAA17048,transposase
521483,522853,-1,BAA17049,
523016,523798,-1,BAA17050,ABC transporter
523821,524114,-1,BAA17051,
524346,529595,1,BAA17052,
529696,530688,1,BAA17053,NAD+ dependent glycerol-3-phosphate dehydrogenase
530717,531235,-1,BAA17054,
531446,532867,1,BAA17055,glutamate--ammonia ligase
533086,537474,1,BAA17056,hybrid sensory kinase
537471,538418,1,BAA17057,regulatory components of sensory transduction system
538415,539020,1,BAA17058,FKBP-type peptidyl-prolyl cis-trans isomerase
539288,539854,-1,BAA17059,
540098,540763,1,BAA17060,
540863,542065,1,BAA17061,
542105,542596,-1,BAA17062,
542803,543342,1,BAA17063,cAMP binding protein
543468,544871,-1,BAA17064,glutamate decarboxylase
545029,545253,1,BAA17065,
545250,545588,1,BAA17066,
545591,546556,-1,BAA17067,
546553,547278,-1,BAA17068,urease accessory protein D
547425,547874,-1,BAA17069,
548236,549132,1,BAA17070,
549129,549701,-1,BAA17071,ferripyochelin binding protein
549994,550329,1,BAA17072,
550563,552170,1,BAA17073,
552220,552867,-1,BAA17074,
553065,553202,-1,BAA17075,photosystem II PsbK protein
553297,554019,-1,BAA17076,
554289,554546,1,BAA17077,
554727,555050,1,BAA17078,
555262,555606,1,BAA17079,
555642,556946,1,BAA17080,histidinol dehydrogenase
557423,558979,1,BAA17081,mercuric reductase
559015,559350,-1,BAA17082,
559461,561170,-1,BAA17083,urease alpha subunit
561188,561658,-1,BAA17084,
562557,563045,1,BAA17085,
563105,563290,1,BAA17086,
563448,565925,-1,BAA17087,
566059,566805,1,BAA17088,
566983,568905,-1,BAA17089,
569141,569488,1,BAA17090,rubredoxin
569544,570572,1,BAA17091,
570658,570903,1,BAA17092,cytochrome b559 a subunit
570940,571074,1,BAA17093,cytochrome b559 b subunit
571084,571203,1,BAA17094,photosystem II PsbL protein
571236,571355,1,BAA17095,photosystem II PsbJ protein
571440,572567,1,BAA17096,glutamate 5-kinase
572736,572909,1,BAA17097,transposase
573494,574510,1,BAA17098,transposase
574562,575464,1,BAA17099,
575477,576127,1,BAA17100,
576139,576903,-1,BAA17101,
576934,579768,-1,BAA17102,DNA gyrase A subunit
579646,580194,1,BAA17103,cell division response regulator; DivK
580228,581055,1,BAA17104,
581052,581525,-1,BAA17105,
581518,582162,-1,BAA17106,
582238,582477,1,BAA17107,
582481,583092,-1,BAA17108,
583157,583573,-1,BAA17109,ferric uptake regulation protein
583680,584696,1,BAA17110,periplasmic binding protein component of an ABC type zinc uptake transporter
584674,585543,1,BAA17111,ABC transporter
585497,586342,1,BAA17112,
586858,587145,1,BAA17113,
587228,593125,1,BAA17114,Fat protein
593257,594243,1,BAA17115,phosphate starvation-inducible protein
594454,595650,1,BAA17116,
595733,596311,1,BAA17117,
596540,597247,1,BAA17118,phycobilisome rod-core linker polypeptide; CpcG
597591,598487,1,BAA17119,
598484,598930,-1,BAA17120,
599062,599913,1,BAA17121,
599910,600833,-1,BAA17122,DnaJ protein
600942,603308,-1,BAA17123,DnaK protein
603443,604726,-1,BAA17124,serine hydroxymethyltransferase
605541,606035,-1,BAA17125,transposase
606465,608594,-1,BAA17126,ComE
609469,610053,1,BAA17127,
609948,610487,1,BAA17128,
611057,612832,1,BAA17129,
613102,613743,1,BAA17130,NarL subfamily
613801,614817,1,BAA17131,N-acetylmuramoyl-L-alanine amidase
614841,615269,1,BAA17132,
615266,615703,-1,BAA17133,
615968,616324,1,BAA17134,anti-sigma F factor antagonist
616456,616809,1,BAA17135,
616822,617178,1,BAA17136,
617390,618187,-1,BAA17137,
618311,618715,-1,BAA17138,
619215,619529,1,BAA17139,
619618,620469,1,BAA17140,esterase
620560,621468,1,BAA17141,
621561,622247,1,BAA17142,
622300,624123,-1,BAA17143,penicillin-binding protein
624136,624594,-1,BAA17144,
624899,626281,-1,BAA17145,glycolate oxidase subunit (Fe-S) protein
626349,627425,-1,BAA17146,
627572,629272,1,BAA17147,ABC1-like
629398,630504,1,BAA17148,
630555,631592,-1,BAA17149,LysR transcriptional regulator
631896,632093,-1,BAA17150,
632213,633157,1,BAA17151,
633789,634880,-1,BAA17152,
634892,636247,-1,BAA17153,
636372,637523,1,BAA17154,sulfolipid biosynthesis protein; SqdB
637666,637956,1,BAA17155,
637993,638688,-1,BAA17156,
638774,639583,-1,BAA17157,
639516,640613,-1,BAA17158,potassium channel
640737,642026,1,BAA17159,N-acetylornithine aminotransferase
642153,642467,1,BAA17160,
642474,643115,1,BAA17161,
643144,643482,1,BAA17162,
643549,644379,-1,BAA17163,esterase
644388,645497,-1,BAA17164,formaldehyde dehydrogenase (glutathione)
646129,658047,1,BAA17165,
658262,659335,1,BAA17166,Mg chelatase subunit; ChlI
659370,660584,1,BAA17167,tyrosyl tRNA synthetase
660772,661125,1,BAA17168,
661122,662819,1,BAA17169,
662952,663188,1,BAA17170,tyrosyl tRNA synthetase
663342,663731,1,BAA17171,
663788,664315,1,BAA17172,
664394,664780,-1,BAA17173,transposase
664903,667017,-1,BAA17174,
666929,667375,-1,BAA17175,
667447,667842,1,BAA17176,CheY subfamily
667852,668481,-1,BAA17177,
668776,669162,-1,BAA17178,
669254,669751,-1,BAA17179,
669759,670949,-1,BAA17180,
671006,671707,1,BAA17181,
671912,672244,1,BAA17182,
672291,672947,1,BAA17183,leader peptidase I
672899,673612,1,BAA17184,
673889,675340,1,BAA17185,cytochrome oxidase d subunit I
675344,676354,1,BAA17186,cytochrome oxidase d subunit II
676351,676929,-1,BAA17187,
677045,678286,-1,BAA17188,acetate kinase
678283,679023,-1,BAA17189,dienelactone hydrolase
679295,679510,1,BAA17190,
679690,680178,1,BAA17191,
680096,680368,1,BAA17192,
680397,681572,1,BAA17193,
681707,682675,1,BAA17194,
682854,683117,1,BAA17195,
683140,684156,-1,BAA17196,phenoxybenzoate dioxygenase
684143,684439,-1,BAA17197,ferredoxin
684560,687334,-1,BAA17198,CheA like protein
687391,690252,-1,BAA17199,
690399,690866,-1,BAA17200,
690899,691264,-1,BAA17201,CheY subfamily
691371,692576,-1,BAA17202,PatA subfamily
693211,695211,-1,BAA17203,ribonuclease II
695290,695874,-1,BAA17204,
695975,697972,1,BAA17205,cell division protein; FtsH
697988,698458,1,BAA17206,
698723,698962,1,BAA17207,
698970,700814,1,BAA17208,ferrous iron transport protein B
701138,701350,-1,BAA17209,high light-inducible protein
701343,704267,1,BAA17210,sensory transduction histidine kinase
704390,704845,1,BAA17211,
705307,706017,-1,BAA17212,
706055,707131,1,BAA17213,
707437,708054,1,BAA17214,
708189,708812,1,BAA17215,
709045,709797,1,BAA17216,
710036,710977,-1,BAA17217,
710981,711595,-1,BAA17218,serine esterase
711608,712783,-1,BAA17219,sporulation protein; SpoIID
712931,713779,1,BAA17220,
713774,714178,-1,BAA17221,
714465,716153,-1,BAA17222,DNA ligase
716309,719665,-1,BAA17223,
719733,721247,-1,BAA17224,GumB protein
721429,721692,1,BAA17225,
721724,722479,1,BAA17226,
722570,723862,1,BAA17227,seryl-tRNA synthetase
724094,724345,-1,BAA17228,phycocyanin associated linker protein
724492,725367,-1,BAA17229,phycocyanin associated linker protein
725413,726234,-1,BAA17230,phycocyanin associated linker protein
726349,726837,-1,BAA17231,phycocyanin a subunit
726948,727466,-1,BAA17232,phycocyanin b subunit
728271,728489,1,BAA17233,
728660,729484,1,BAA17234,
730108,731358,-1,BAA17235,serine/threonine protein kinase
731363,731674,-1,BAA17236,
731748,732062,-1,BAA17237,
732418,733284,1,BAA17238,"aspartoacylase, ASP"
733401,734432,1,BAA17239,dihydroflavonol 4-reductase
734665,734859,1,BAA17240,
734985,736220,1,BAA17241,lysostaphin
736435,737811,-1,BAA17242,DNA polymerase III alpha subunit
737867,738808,-1,BAA17243,
738909,739640,-1,BAA17244,
739682,741931,1,BAA17245,penicillin-binding protein 1B
742080,742688,-1,BAA17246,fibrillin
742780,744732,-1,BAA17247,ABC transporter
744810,745247,-1,BAA17248,
745339,746124,1,BAA17249,
746303,747019,-1,BAA17250,
747234,747578,1,BAA17251,
747575,749038,1,BAA17252,NADH dehydrogenase subunit 4
749150,749500,1,BAA17253,
749550,751037,1,BAA17254,NADH dehydrogenase subunit 5
751034,751426,1,BAA17255,
751381,751674,1,BAA17256,
751671,751967,1,BAA17257,
751936,752535,1,BAA17258,
752532,753179,1,BAA17259,
753427,754734,1,BAA17260,
754877,755602,-1,BAA17261,
